SAMPLE_SRR,organ,mating,sex
SRR3113345,Head+thorax,virgin,female
SRR3113346,Head+thorax,virgin,female
SRR3113380,Head+thorax,virgin,female
SRR3113347,Head+thorax,virgin,female
SRR3113383,Head+thorax,virgin,female
SRR3113382,Head+thorax,virgin,female
SRR3113354,Head+thorax,mated,female
SRR3113353,Head+thorax,mated,female
SRR3113355,Head+thorax,mated,female
SRR3113414,Head+thorax,mated,female
SRR3113387,Head+thorax,mated,female
SRR3113415,Head+thorax,mated,female
SRR3113350,abdomen,virgin,female
SRR3113352,abdomen,virgin,female
SRR3113348,abdomen,virgin,female
SRR3113384,abdomen,virgin,female
SRR3113386,abdomen,virgin,female
SRR3113385,abdomen,virgin,female
SRR3113357,abdomen,mated,female
SRR3113356,abdomen,mated,female
SRR3113359,abdomen,mated,female
SRR3113416,abdomen,mated,female
SRR3113417,abdomen,mated,female
SRR3113419,abdomen,mated,female
SRR3113361,Head+thorax,virgin,male
SRR3113362,Head+thorax,virgin,male
SRR3113363,Head+thorax,virgin,male
SRR3113418,Head+thorax,virgin,male
SRR3113364,Head+thorax,virgin,male
SRR3113381,Head+thorax,virgin,male
SRR3113340,Head+thorax,mated,male
SRR3113341,Head+thorax,mated,male
SRR3113423,Head+thorax,mated,male
SRR3113368,Head+thorax,mated,male
SRR3113369,Head+thorax,mated,male
SRR3113370,Head+thorax,mated,male
SRR3113365,abdomen,virgin,male
SRR3113366,abdomen,virgin,male
SRR3113367,abdomen,virgin,male
SRR3113420,abdomen,virgin,male
SRR3113421,abdomen,virgin,male
SRR3113422,abdomen,virgin,male
SRR3113378,abdomen,mated,male
SRR3113342,abdomen,mated,male
SRR3113343,abdomen,mated,male
SRR3113344,abdomen,mated,male
SRR3113377,abdomen,mated,male
SRR3113379,abdomen,mated,male