Run,organ,mating,sex,lane,ID
SRR3113356,abdomen,mated,female,lane1,AMf1
SRR3113357,abdomen,mated,female,lane1,AMf2
SRR3113359,abdomen,mated,female,lane1,AMf3
SRR3113342,abdomen,mated,male,lane1,AMm1
SRR3113343,abdomen,mated,male,lane1,AMm2
SRR3113344,abdomen,mated,male,lane1,AMm3
SRR3113348,abdomen,virgin,female,lane1,AVf1
SRR3113350,abdomen,virgin,female,lane1,AVf2
SRR3113352,abdomen,virgin,female,lane1,AVf3
SRR3113420,abdomen,virgin,male,lane1,AVm1
SRR3113421,abdomen,virgin,male,lane1,AVm2
SRR3113422,abdomen,virgin,male,lane1,AVm3
SRR3113353,Head+thorax,mated,female,lane1,HtMf1
SRR3113354,Head+thorax,mated,female,lane1,HtMf2
SRR3113355,Head+thorax,mated,female,lane1,HtMf3
SRR3113423,Head+thorax,mated,male,lane1,HtMm1
SRR3113340,Head+thorax,mated,male,lane1,HtMm2
SRR3113341,Head+thorax,mated,male,lane1,HtMm3
SRR3113345,Head+thorax,virgin,female,lane1,HtVf1
SRR3113346,Head+thorax,virgin,female,lane1,HtVf2
SRR3113347,Head+thorax,virgin,female,lane1,HtVf3
SRR3113364,Head+thorax,virgin,male,lane1,HtVm1
SRR3113381,Head+thorax,virgin,male,lane1,HtVm2
SRR3113418,Head+thorax,virgin,male,lane1,HtVm3